video,mean_auc,mean_avg_l2,mean_min_l2
002,0.9866,0.0917,0.0917
004,0.922,0.2008,0.2008
007,0.9675,0.1124,0.1124
008,0.9269,0.1401,0.1401
011,0.9349,0.1878,0.1878
012,0.9391,0.1783,0.1783
014,0.9799,0.1008,0.1008
015,0.8953,0.3442,0.3442
016,0.9647,0.1013,0.1013
021,0.9321,0.124,0.124
022,0.8389,0.2648,0.2648
025,0.9702,0.1435,0.1435
027,0.9091,0.2142,0.2142
028,0.9856,0.0562,0.0562
035,0.8944,0.1198,0.1198
044,0.9911,0.0509,0.0509
049,0.872,0.265,0.265
056,0.9693,0.231,0.231
057,0.9795,0.0731,0.0731
061,0.9801,0.0884,0.0884
062,0.9632,0.1559,0.1559
065,0.856,0.3529,0.3529
066,0.901,0.1964,0.1964
